FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ec,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-16T00:00:00,2025-03-17T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ea,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-17T00:00:00,2025-03-18T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e9,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-18T00:00:00,2025-03-19T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e6,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-19T00:00:00,2025-03-20T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e5,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-20T00:00:00,2025-03-21T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e4,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-21T00:00:00,2025-03-22T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e1,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-22T00:00:00,2025-03-23T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33e0,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-23T00:00:00,2025-03-24T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33dd,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-24T00:00:00,2025-03-25T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33dc,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-25T00:00:00,2025-03-26T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33da,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-26T00:00:00,2025-03-27T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33d8,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-27T00:00:00,2025-03-28T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33d7,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-28T00:00:00,2025-03-29T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33d4,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-29T00:00:00,2025-03-30T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33d3,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-30T00:00:00,2025-03-31T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33d1,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-31T00:00:00,2025-04-01T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33cf,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-01T00:00:00,2025-04-02T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ce,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-02T00:00:00,2025-04-03T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33cb,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-03T00:00:00,2025-04-04T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ca,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-04T00:00:00,2025-04-05T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33c8,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-05T00:00:00,2025-04-06T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33c6,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-06T00:00:00,2025-04-07T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33c5,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-07T00:00:00,2025-04-08T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33c2,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-08T00:00:00,2025-04-09T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33c1,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-09T00:00:00,2025-04-10T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33bf,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-10T00:00:00,2025-04-11T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33bd,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-11T00:00:00,2025-04-12T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33bb,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-12T00:00:00,2025-04-13T00:00:00,0.101,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33b9,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-13T00:00:00,2025-04-14T00:00:00,0.101,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33b7,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-14T00:00:00,2025-04-15T00:00:00,0.101,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33b5,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-15T00:00:00,2025-04-16T00:00:00,0.103,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33b2,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-16T00:00:00,2025-04-17T00:00:00,0.102,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33b1,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-17T00:00:00,2025-04-18T00:00:00,0.102,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33af,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-18T00:00:00,2025-04-19T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ad,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-19T00:00:00,2025-04-20T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ac,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-20T00:00:00,2025-04-21T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a9,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-21T00:00:00,2025-04-22T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a8,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-22T00:00:00,2025-04-23T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a5,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-23T00:00:00,2025-04-24T00:00:00,0.102,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a4,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-24T00:00:00,2025-04-25T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a2,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-25T00:00:00,2025-04-26T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33a0,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-26T00:00:00,2025-04-27T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-339e,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-27T00:00:00,2025-04-28T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3399,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-04-28T00:00:00,2025-04-29T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
