Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
54191,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Bernhard-Ihnen-Straße 2 a,Villa,"Villa; 1903, Architekt Hugo Groothoff, Umgestaltung 1923 durch Erich Elingius und Gottfried Schramm; eingeschossiger Putzbau über Sockelgeschoss unter ausgebautem Satteldach in Schifferdeckung, asymmetrische Fenstergliederung, Eingangsportal mit Säulenportikus, Holzveranda","Geschichtlich, Künstlerisch","Villa, Kleinviehstall",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54191.jpg
10198,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Goetheallee 3,Victor-Gollancz-Haus,Alteintragung (Aktualisierung vorgesehen),"Künstlerisch, Städtebaulich","Victor-Gollancz-Haus, Villengarten, Teehügel, Laubengang (Linde)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10198.jpg
13440,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Hamburger Straße 17,Rowohlt-Verlagsgebäude,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13440.jpg
36926,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Hamburger Straße 25,"Villa, Wohnhaus","Villa, ehem. Wohnhaus Mickerts; Ende 19. Jh., 1904; zweigeschossiger Putzbau, kubischer additiv erweiterter Baukörper mit Walmdach und strenger Lisenen- und Profilgliederung, straßenseitiger turmartiger Anbau vermutlich 1904, gartenseitig hölzerne Veranda, im Innern qualitätvolle Ausstattung (Farbverglasung, Terrazzo, Stuckierung)","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/36926.jpg
37064,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Hamburger Straße 29,Wohnhaus,"Wohnhaus; 1892; Eckgebäude, zweigeschossiger Putzbau mit abgeschrägten Ecken über Sockelgeschoss unter Dachlandschaft in Schifferdeckung; straßenseitig Wintergarten und Loggia aus Holz sowie Freigespärre, rückwärtig Balkon","Geschichtlich, Städtebaulich","Wohnhaus, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/37064.jpg
45640,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Klosterbergenstraße 4,ehem. Spritzenhaus,"ehem. Spritzenhaus; 1892, C. Ohl; zweigeschossiger Putzbau mit flachem, ursprünglich schiefergedecktem Satteldach und Schlauchturm, hangseitig eingetieftes Erdgeschoss in Backstein mit vier Zufahrtstoren","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45640.jpg
8816,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Klosterbergenstraße,Mausoleum Schramm/Tiefenbacher,"Mausoleum; 1889, Bauherrin Emilia Schramm; Zentralbau über griechischem Kreuz mit Apsis im Osten unter Metalldächern und Laterne, gestreiftes Backsteinmauerwerk, Rundbogeneinfassung der Eingangstür mit Spruch, Strebepfeiler, Bleiglasfenster","Geschichtlich, Künstlerisch, Städtebaulich","Mausoleum Schramm/Tiefenbacher, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8816.jpg
8982,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Klosterbergenstraße,Friedhofskapelle,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8982.jpg
3766,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Königstraße 3,Fachhallenkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
4431,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Kreisstraße 27,Straße zwischen Ohe und Sachsenwaldau,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
3765,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Sachsenwaldstraße,Bismarcksäule,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",gesamtes Objekt,
1276,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schloßstraße 5,Schloss Reinbek,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1276.jpg
31453,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schloßstraße 5,Sandstein-Obelisk August von Hobe,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/31453.jpg
3601,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schloßstraße,Brücke beim ehem. Mühlenwehr,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
54016,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schönningstedter Straße 5,Wohnhaus,"Wohnhaus; 1896; zweigeschossiger Putzbau mit Satteldach, repräsentative Straßenfront mit reicher Stuckierung, Veranda mit darüberliegendem Balkon mit gusseisernen Stützen und Geländern, mit Einfriedung","Geschichtlich, Städtebaulich","Wohnhaus, Einfriedung",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54016.jpg
928,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schönningstedter Straße 7,Kirche St. Maria Magdalena mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich","Kirche St. Maria Magdalena mit Ausstattung, zwei Granitpfeiler (Lampenträger), Nebengebäude",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/928.jpg
3602,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schulstraße 17 - 19,Sachsenwaldschule mit Turnhalle und Rektorhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5238,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schulstraße 21,Lehrerhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5239,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schulstraße 23,Lehrerhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5240,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Schulstraße 24,Lehrerhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
13441,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Völckers Park 10,"Villa, sog. Bäckerschule","Villa, sog. Bäckerschule; Ende 19. Jh. für den Kaufmann Adolph Soermann; zweigeschossiger, repräsentativer Putzbau mit ausgebautem Walmdach, achteckigem Turm und eingeschossigem Wintergartenanbau, historische Ausstattung","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13441.jpg
13526,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Völckers Park 11,Rowohlt-Verlagsgebäude,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13526.jpg
9574,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Waldstraße 6,Villa Tiefenbacher,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9574.jpg
13681,Gründenkmal,Kreis Stormarn,"Reinbek, Stadt",Schloßstraße 5,Schlosspark,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Schlosspark, geschnittene Lindenallee, Zufahrtsallee (Linden), Wasserbecken",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13681.jpg
41133,Sachgesamtheit,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Paul-von-Schoenaich-Straße,Matthias-Claudius-Kirche,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Matthias-Claudius-Kirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Lindenkranz",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41133.jpg
7287,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",An der B 75,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
41136,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Hamburger Chaussee,Granitquaderbrücke,Granitquaderbrücke; 1836; einjochige Steinbogenbrücke aus Granitquadern im Verlauf der Lübeck-Altonaer Chaussee,"Geschichtlich, Kulturlandschaftlich, Technisch",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41136.jpg
5165,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Matthias-Claudius-Straße 4,Pastorat,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),
3605,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Matthias-Claudius-Straße 35,Forstamt (ehem. Amtshaus),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3605.jpg
11316,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Matthias-Claudius-Straße 35,Kutscherhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Wissenschaftlich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/11316.jpg
3606,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Paul-von-Schoenaich-Straße 14,Rathaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
3603,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Paul-von-Schoenaich-Straße,Matthias-Claudius-Kirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3603.jpg
3604,Bauliche Anlage,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Steinhöfer Straße,Klostermauer,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Wissenschaftlich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3604.jpg
20797,Gründenkmal,Kreis Stormarn,"Reinfeld (Holstein), Stadt",Paul-von-Schoenaich-Straße,Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Kirchhof, Grabmale bis 1870, Lindenkranz",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20797.jpg
1269,Bauliche Anlage,Kreis Stormarn,Rethwisch,Gut Treuholz,Herrenhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch","Herrenhaus, Gutspark, Toranlage",
37066,Bauliche Anlage,Kreis Stormarn,Rümpel,An de Sylsbek 2,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude J. Schacht; 1862; eingeschossiger Backsteinbau, traufständig mit Satteldach, Putzgliederung in den Giebeln, straßenseitiges Zwerchhaus u. Scheune vermutlich um 1900","Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/37066.jpg
9127,Bauliche Anlage,Kreis Stormarn,Rümpel,Klinken 25,Gut Höltenklinken: Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9127.jpg
27669,Bauliche Anlage,Kreis Stormarn,Rümpel,Oldesloer Straße 1,Hof Rohlfshagen: Gutshaus,"ehem. Gutshaus; 1907, Architekt Johannsen; zweigeschossiger Putzbau mit Mandsardwalmdach, Mittelrisalit mit Altan und stuckverziertem Dreiecksgiebel, vorgelagerte Freitreppe mit zwei Löwenplastiken","Geschichtlich, Künstlerisch, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27669.jpg
46277,Sachgesamtheit,Kreis Stormarn,Siek,Birkenbusch 3,ehem. Kuranstalt Birkenbusch,"Kuranstalt Birkenbusch; 1930 im Auftrag der LVA, Architekt Hermann Distel; Anlage auf ehem. Kätnerstelle des späten 18. Jhs., LVA errichtet Erholungsheim (Bettenhaus mit Liegehallen), vorhandenes Sommerhaus von 1921 als Schwesternwohnheim einbezogen (Wiederaufbau 1945-46)","Geschichtlich, Kulturlandschaftlich, Städtebaulich","ehem. Erholungsheim der LVA mit Zufahrtstor, ehem. Schwesternwohnheim",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/46277.jpg
41140,Sachgesamtheit,Kreis Stormarn,Siek,Kirchenweg,Friedenskirche,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Friedenskirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Feldsteinwall, Kastanienkranz",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41140.jpg
46168,Bauliche Anlage,Kreis Stormarn,Siek,Birkenbusch 3,ehem. Erholungsheim der LVA,"ehem. Erholungsheim der LVA; 1930, Architekt Hermann Distel; Bettenhaus, zweigeschossiger Klinkerbau in Hanglage mit Satteldach, zweigeschossiger Querbau mit flachem Walmdach, zum Garten gerichtet zwei diagonal ausgestellte halboffene Liegehallen","Geschichtlich, Kulturlandschaftlich, Städtebaulich","ehem. Erholungsheim der LVA, Zufahrtstor",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/46168.jpg
46276,Bauliche Anlage,Kreis Stormarn,Siek,Birkenbusch 3,ehem. Schwesternwohnheim,"ehem. Schwesternwohnheim der LVA; auf Kätnerhaus des späten 18. Jhs. zurückgehend, Neubau 1921 und Wiederaufbau 1946; eingeschossiger Fachwerkbau auf L-förmigem Grundriss, Kurzwalmdächer, ab 1927 in Nutzung der LVA","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/46276.jpg
3791,Bauliche Anlage,Kreis Stormarn,Siek,Kirchenweg,Friedenskirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3791.jpg
23783,Gründenkmal,Kreis Stormarn,Siek,Hauptstraße u.a.,Dorfanger Siek,"Dorfanger; große, langgestreckte Platzanlage im Zentrum des 1304 erstmals erwähnten Siek; Lindenbaumkranz, Lindenreihe, Friedenseiche und Doppeleiche mit Gedenkstein, Ehrenmalanlagen für die Gefallenen der Weltkriege, historische Pflasterstraßen","Geschichtlich, Kulturlandschaftlich","Dorfanger Siek, Friedenseiche mit Gedenkstein, Doppeleiche mit Gedenkstein, Ehrenmal der Gefallenen des Ersten Weltkrieges, Lindenreihe, Lindenbaumkranz, Ehrenmal der Gefallenen des Zweiten Weltkriegs (Hauptstraße, Kirchenweg, Hoisdorfer Weg), Pflasterstraße (Kirchenweg, Hoisdorfer Weg, Pflasterstraße (Hoisdorfer Weg)",
19815,Gründenkmal,Kreis Stormarn,Siek,Kirchenweg,Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Kirchhof, Grabmale bis 1870, Feldsteinwall, Kastanienkranz",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/19815.jpg
41141,Sachgesamtheit,Kreis Stormarn,Steinburg,Lindenallee,Kirche Eichede,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Kirche mit Ausstattung, Kirchhof, Feldsteinmauer, Lindenkranz",
45698,Bauliche Anlage,Kreis Stormarn,Steinburg,Kirchenstraße 1,ehem. Schule,"ehem. Schule; 1891; zweigeschossiger Backsteinbau mit flachgeneigtem Walmdach und zwei Zwerchhäusern, nördlicher Gebäudeteil für ehem. Klassenräume leicht erhöht, Ziegeldekor als Fassadengliederung; Einfriedung ca. 1915","Geschichtlich, Städtebaulich","ehem. Schule, Einfriedung",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45698.jpg
6457,Bauliche Anlage,Kreis Stormarn,Steinburg,Lindenallee 1,ehem. Gasthaus,"ehem. Gasthaus Haase; um 1900; traufständiger, zweigeschossiger Putzbau am Südrand des Angers mit flachgeneigtem Satteldach und Drempelgeschoss, betonte Mittelachse mit Kassettentür, Fensterpaaren und Zwerchhaus","Geschichtlich, Städtebaulich","ehem. Gasthaus, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6457.jpg
5428,Bauliche Anlage,Kreis Stormarn,Steinburg,Lindenallee 27,ehem. Rauchkate (Wohnhaus),"ehem. Rauchkate (Wohnhaus); wohl 1. Hälfte 19. Jahrhundert; giebelständiger, eingeschossiger Fachwerkbau über Sockel aus Granit mit reetgedecktem Halbwalmdach, weitgehend erhaltene innere Raumstruktur","Geschichtlich, Kulturlandschaftlich, Städtebaulich","ehem. Rauchkate (Wohnhaus), ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/5428.jpg
2405,Bauliche Anlage,Kreis Stormarn,Steinburg,Lindenallee,Kirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2405.jpg
10743,Bauliche Anlage,Kreis Stormarn,Steinburg,Viehkatenstraße,Pflasterstraße mit Sommerweg,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
10744,Bauliche Anlage,Kreis Stormarn,Steinburg,Viehkatenstraße,Dänenbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
19829,Gründenkmal,Kreis Stormarn,Steinburg,Kirchenstraße u.a.,Dorfanger Eichede,"spätmittelalterlicher Dorfanger mit Baumkranz aus Linden, Lindenallee, Diagonalallee aus Linden, Ehrenmal für die Gefallenen beider Weltkriege, Gedenkstein Wilhelm I.","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Dorfanger Eichede, Ehrenmal für die Gefallenen des Ersten Weltkrieges, Ehrenmal für die Gefallenen beider Weltkriege, Gedenkstein Wilhelm I., Diagonalallee (Linden) auf dem Anger, Baumkranz aus Linden, Lindenallee ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/19829.jpg
19826,Gründenkmal,Kreis Stormarn,Steinburg,Lindenallee,Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Kirchhof, Feldsteinmauer, Lindenkranz",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/19826.jpg
46795,Sachgesamtheit,Kreis Stormarn,Tangstedt,Kringelweg,Behelfsheim Tangstedt,"Behelfsheim Tangstedt; 1946; schlichtes hölzernes Wohnhaus mit Parzelle zur Eigenversorgung, Reichseinheitstyp nach Programm des Deutschen Wohnungs-Hilfswerks","Geschichtlich, Kulturlandschaftlich, Wissenschaftlich","Behelfsheim, Gartenparzelle",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/46795.jpg
1301,Bauliche Anlage,Kreis Stormarn,Tangstedt,Beekmoorweg 8,ehem. Melkerhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1343,Bauliche Anlage,Kreis Stormarn,Tangstedt,Hauptstraße 103,Fachhallenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
43404,Bauliche Anlage,Kreis Stormarn,Tangstedt,Kringelweg,Behelfsheim,"Behelfsheim Tangstedt; 1946; schlichtes hölzernes Wohnhaus mit Parzelle zur Eigenversorgung, Reichseinheitstyp nach Programm des Deutschen Wohnungs-Hilfswerks","Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/43404.jpg
7298,Bauliche Anlage,Kreis Stormarn,Tangstedt,NW-Seite Seg. Ch.,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
3819,Bauliche Anlage,Kreis Stormarn,Tangstedt,Schleusenweg,Heidkruger Alsterschleuse (Ehlersberger Schleuse),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5279,Gründenkmal,Kreis Stormarn,Tangstedt,Beekmoorweg,Straße mit Lindenallee,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
23843,Gründenkmal,Kreis Stormarn,Todendorf,Hauptstraße,Doppeleiche,Doppeleiche; 1898; zum 50-jährigen Jubiläum der Schleswig-Holsteinischen Erhebung gepflanzt,"Geschichtlich, Städtebaulich, Wissenschaftlich","Doppeleiche, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/23843.jpg
1279,Bauliche Anlage,Kreis Stormarn,Travenbrück,Gutsweg 5,Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1279.jpg
9865,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven 1,Gut Neverstaven: Gutshaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9865.jpg
28456,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven 1,Gut Neverstaven: Pavillon,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/28456.jpg
28458,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven 1,Gut Neverstaven: Ceresstatue,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
9866,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven 2,Gut Neverstaven: Verwalterhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9866.jpg
9702,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven 3,Gut Neverstaven: Gestütshaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9702.jpg
9867,Bauliche Anlage,Kreis Stormarn,Travenbrück,Neverstaven,Gut Neverstaven: Umfassungsmauer mit Eingangsbereich,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9867.jpg
1275,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 28,Kavalierhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Äußeres,
1273,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 30,Herrenhaus (Kloster Nütschau),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1273.jpg
5261,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 34,sog. Schlosskate,Alteintragung (Aktualisierung vorgesehen),Geschichtlich,Alteintragung (Aktualisierung vorgesehen),
5263,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 40,sog. Försterkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5262,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 42 a-c,Kate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
5260,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 43,ehem. Wassermühle,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
6438,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 44,Backhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
8444,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße 44,ehem. Pferdestall,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1274,Bauliche Anlage,Kreis Stormarn,Travenbrück,Schloßstraße,Feldsteinmauer,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",Alteintragung (Aktualisierung vorgesehen),
6258,Bauliche Anlage,Kreis Stormarn,Travenbrück,Zur Trave 16,Fachhallenkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
9868,Gründenkmal,Kreis Stormarn,Travenbrück,Neverstaven 1,Gut Neverstaven: Garten,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9868.jpg
12624,Gründenkmal,Kreis Stormarn,Travenbrück,Schloßstraße,Straßenallee (Linden),Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/12624.jpg
33680,Bauliche Anlage,Kreis Stormarn,Tremsbüttel,Lasbeker Straße 1,sog. Tremsbütteler Kate,"ehem. Altenteilerkate, vor 1776, giebelständiger, eingeschossiger Fachwerkbau in Zweiständerbauweise mit Backsteinausfachung unter Halbwalmdach in Reetdeckung, 1857 Wohnteil massiv ersetzt","Geschichtlich, Kulturlandschaftlich, Städtebaulich","sog. Tremsbütteler Kate, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/33680.jpg
1231,Bauliche Anlage,Kreis Stormarn,Tremsbüttel,Schloßstraße 10,Hof Tremsbüttel: Herrenhaus von 1895,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1231.jpg
2749,Gründenkmal,Kreis Stormarn,Tremsbüttel,Schloßstraße 10,Hof Tremsbüttel: Landschaftspark,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2749.jpg
22364,Gründenkmal,Kreis Stormarn,Tremsbüttel,Schloßstraße 10,Hof Tremsbüttel: vierreihige Zufahrtsallee,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,
