pegelNummer;pegelName;betreiber;gewaesser;geogrLaenge;geogrBreite;von;bis;parameter;stillgelegtAm;isDFUE;einzugsgebiet;pnp;pnp_gueltig_ab;gewaesserfolge
111029;Sönke-Nissen-Koog Rhynschlotsiel;LKN, Husum;Rhynschlot;8.895426;54.598953;2003-01-16;2020-01-22;Wasserstand;;true;;-5.010000;2018-01-01;
111048;Warwerort;LKN, Husum;Hauptkanal;8.919860;54.151791;1970-01-04;2020-01-22;Wasserstand;;true;61.11;-5.030000;2018-01-01;
114103;Wulksfelde;LKN, Itzehoe;Alster;10.115644;53.718506;1984-11-01;2020-01-22;Wasserstand;;true;139.12;14.420000;2000-11-01;Nordsee
110012;Suederhafen;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.914963;54.471272;1973-04-11;2020-01-22;Wasserstand;;true;;-5.020000;2018-01-01;
114288;Behl;LKN, Kiel;Behler Au;10.475632;54.180382;1988-12-01;;Abfluss;;false;6.41;0.000000;2012-05-30;
114290;Bokel/Störbek;LKN, Itzehoe;Störbek;9.724338;53.870384;1988-12-01;;Abfluss;;false;32.95;2.186000;1994-11-01;
114011;Bredeneek;LKN, Kiel;Spolsau;10.304488;54.263187;1984-11-01;;Abfluss;2009-02-11;false;47.9;0.000000;1994-11-01;
114361;Haby I;LKN, Kiel;Brobach;9.805752;54.398037;1993-12-01;;Abfluss;1997-01-31;false;;0.000000;1992-01-01;
114540;Kesdorf;LKN, Kiel;Schwartau;10.655534;54.069473;2003-10-29;;Abfluss;;false;66.1;16.405001;2003-10-29;
114519;Kiel-Oppendorf;LKN, Kiel;Schwentine;10.203833;54.323380;2003-07-17;2020-01-22;Abfluss;;true;722.55;0.000000;2003-03-06;
114345;Dörpstedt;LKN, Husum;Rheider Au;9.350012;54.444462;1995-12-01;;Abfluss;;false;57.65;-5.000000;2018-01-01;
114531;Lütjenhorn;LKN, Husum;Lecker Au;9.109677;54.798737;2003-09-10;;Abfluss;;false;31.48;-4.990000;2018-01-01;Nordsee (Schlütt, Süderaue)
114350;Meldorf;LKN, Husum;Miele;9.041220;54.091663;1992-11-25;2020-01-22;Abfluss;;true;237.35;-4.980000;2018-01-01;
114415;Mönkhof;LKN, Kiel;Vorrader Landgraben;10.697353;53.827972;1997-07-01;;Abfluss;2012-01-01;false;18.18;3.374000;2000-11-01;
111049;Wackenhusen;LKN, Husum;Norderstrom;8.999863;54.150169;2001-04-01;;Wasserstand;;false;38.02;-5.030000;2018-01-01;
114300;Ahrensburg;LKN, Itzehoe;Aue;0.000000;0.000000;1988-09-01;;Abfluss;1990-07-31;false;;0.000000;1988-09-01;
114292;Frestedt-Feld;LKN, Itzehoe;Dohrlehnsbach;9.171488;54.033218;1988-06-01;;Abfluss;2012-01-10;false;4.71;-5.000000;1988-05-19;
114247;Hamfelde;LKN, Kiel;Bille;10.434354;53.605507;1984-12-01;;Abfluss;;false;66.5;0.000000;1994-11-01;Nordsee
114527;Kellinghusen-Parkplatz;LKN, Itzehoe;Stör;9.725967;53.946892;2003-06-23;2020-01-22;Abfluss;;true;648.35;-0.017000;2002-01-01;
110027;Buesum-Landespegel;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.859115;54.121769;1920-05-01;;Wasserstand;2009-01-27;false;;-5.040000;1994-11-01;
110048;Hilligenley;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.547339;54.618500;1981-11-01;2020-01-22;Wasserstand;;true;;-5.010000;2018-01-01;
110164;Osterley;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.559003;54.858513;1997-04-09;;Wasserstand;2005-11-17;false;;-4.990000;2018-01-01;
110165;Langeness Nordost;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.631053;54.665302;1997-04-16;;Wasserstand;1997-10-23;false;;-5.000000;2005-10-20;
110170;Meyers Loch;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.702917;54.411667;1997-04-01;;Wasserstand;2004-11-06;false;;-5.000000;1997-01-01;
110179;Suederhoeft;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.692532;54.265396;1999-10-25;;Wasserstand;2002-11-11;false;;-5.000000;2004-02-05;
114245;Schafstedt;LKN, Itzehoe;Mühlenbach (Schafstedt);9.293017;54.076267;1984-11-01;;Abfluss;;false;22.58;-5.015000;1994-11-01;
114357;Spersdiek;LKN, Itzehoe;Panzergraben;9.161373;54.031738;1985-02-01;;Abfluss;;false;10.72;-5.009000;1994-11-01;
114167;Wildenhorst;LKN, Kiel;Passau;10.314730;54.270916;1984-11-01;;Abfluss;1990-04-30;false;13.3;0.000000;1986-06-01;
114096;Sachsenwaldau;LKN, Itzehoe;Bille;10.299097;53.542492;1984-11-01;;Abfluss;;false;221.13;-0.025000;2018-01-01;Nordsee
114422;Nehmten;LKN, Kiel;Tensfelder Au;10.382949;54.086464;1998-01-01;;Abfluss;;false;72.7;0.000000;1994-11-01;
114440;Oldesloe 4 Mühlenarm;LKN, Itzehoe;Trave;10.377483;53.810204;2000-02-01;;Abfluss;;false;;3.848000;2000-01-27;
114316;Papenau oben;LKN, Kiel;Papenau;9.616680;54.109180;1991-06-01;;Abfluss;2012-01-01;false;11.5;0.000000;1994-11-01;
114213;Ridders;LKN, Itzehoe;Rantzau;9.602630;54.003021;1984-11-01;;Abfluss;;false;26.3;0.000000;2002-11-01;
114234;Rantzel;LKN, Itzehoe;Bilsbek;9.783077;53.706722;1984-11-01;;Abfluss;;false;30.58;2.743000;1994-11-01;
114417;Schönweide;LKN, Kiel;Kossau;10.492124;54.223026;1997-11-01;;Abfluss;;false;68.5;0.000000;1997-11-01;
114132;Segeberg;LKN, Itzehoe;Trave;10.292153;53.938316;1984-11-01;;Abfluss;1991-06-01;false;337.0;20.490000;1953-03-06;
111101;Pinneberg-Mühlenstraße;LKN, Itzehoe;Pinnau;9.781307;53.660198;2009-11-16;;Abfluss;2010-06-23;false;;0.000000;2009-11-14;Nordsee
110036;Rickelsbüll AP;Landesbetrieb für Küstenschutz, Nationalpark und Meeresschutz;Nordsee;8.637412;54.910137;1982-11-01;2020-01-22;Wasserstand;;true;;-5.020000;2018-01-01;
114458;Wensin-Rote Kate;LKN, Itzehoe;Trave;10.454889;53.992203;2002-09-05;2020-01-22;Abfluss;;true;125.04;0.000000;2002-02-06;
114515;Schöhsee;LKN, Kiel;---;10.431130;54.162563;2013-07-09;;Wasserstand;;false;215.0;20.900999;2000-08-01;
114228;Stendorfer See;LKN, Kiel;Stendorfer See;10.698229;54.163631;2013-07-09;;Wasserstand;;false;18.4;31.136000;2004-03-23;
114600;Hobbersdorfer Mühle;LKN, Kiel;Schwartau;10.711689;53.960316;2010-04-23;2020-01-22;Wasserstand;;true;;0.000000;2010-04-01;
114606;Friedrichsruh;LKN, Itzehoe;Schwarze Au;10.355245;53.525192;2011-10-28;;Abfluss;;false;75.45;19.466999;2011-11-01;
114365;Gr.Binnensee;LKN, Kiel;Gr.Binnensee;10.644694;54.336086;2012-05-08;2020-01-22;Wasserstand;;true;;-5.000000;2012-05-08;
114508;Tresdorfer See;LKN, Kiel;---;10.465736;54.229866;2012-07-31;;Wasserstand;;false;;23.636000;1998-12-01;
114193;Hohner See;LKN, Kiel;Hohner See;9.470904;54.308170;1981-04-01;;Wasserstand;;false;15.12;-1.801000;2018-01-01;
114608;Brokenlande;LKN, Itzehoe;Brokstedter Au;9.945385;54.019314;2011-12-06;;Abfluss;2018-11-08;false;13.49;16.344999;2011-11-03;Elbe, Nordsee
